alg,puzzle_size,f%,ants,subcolonies,q0,rho,bve,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm,cp_initial_mean,cp_ant_mean,ant_guessing_mean,coop_game_mean,pheromone_fusion_mean,public_path_mean,communication_time_mean,cp_total_mean,cp_percentage
3,16x16_02338,,3,4,0.9,0.9,0.005,20.0,100.0,0.0518,0.04807,12.6,,,0.000817,0.034943,8.8e-05,0.000683,0.0,4.8e-05,,0.03576,69.03
3,16x16_02349,,3,4,0.9,0.9,0.005,20.0,99.0,1.57982,2.2892,322.04,,,0.000733,1.003897,0.003071,0.016731,0.0,0.00117,,1.0046300000000001,63.59
3,16x16_02350,,3,4,0.9,0.9,0.005,20.0,100.0,0.07377,0.19661,22.41,,,0.000868,0.049625,0.000137,0.001164,0.0,6.8e-05,,0.050493,68.45
3,16x16_02354,,3,4,0.9,0.9,0.005,20.0,100.0,1.22292,1.71396,282.93,,,0.000758,0.798777,0.002228,0.01445,0.0,0.001012,,0.799535,65.38
3,16x16_02355,,3,4,0.9,0.9,0.005,20.0,100.0,0.0272,0.0304,7.19,,,0.000843,0.017934,4.1e-05,0.000379,0.0,3.1e-05,,0.018777,69.03
3,16x16_02357,,3,4,0.9,0.9,0.005,20.0,100.0,0.45128,0.99578,99.75,,,0.000747,0.30526,0.000745,0.005149,0.0,0.000307,,0.306007,67.81
3,16x16_02367,,3,4,0.9,0.9,0.005,20.0,100.0,0.06587,0.1389,15.14,,,0.000777,0.04505,0.000116,0.000795,0.0,5.2e-05,,0.045827,69.57
3,16x16_02370,,3,4,0.9,0.9,0.005,20.0,100.0,0.01229,0.00823,3.06,,,0.00096,0.007618,2.2e-05,0.000176,0.0,1.5e-05,,0.008578,69.8
3,16x16_02371,,3,4,0.9,0.9,0.005,20.0,100.0,0.17124,0.28369,45.17,,,0.000826,0.116323,0.000319,0.002352,0.0,0.000138,,0.11714899999999999,68.41
3,16x16_02374,,3,4,0.9,0.9,0.005,20.0,100.0,0.05542,0.06501,12.53,,,0.000807,0.037616,9.1e-05,0.000667,0.0,5e-05,,0.038423,69.33
3,16x16_02379,,3,4,0.9,0.9,0.005,20.0,100.0,0.17078,0.22831,48.1,,,0.000892,0.114706,0.000383,0.002537,0.0,0.000153,,0.115598,67.69
3,16x16_02383,,3,4,0.9,0.9,0.005,20.0,100.0,0.01451,0.01385,4.06,,,0.000968,0.00904,2.5e-05,0.000216,0.0,1.7e-05,,0.010008,68.97
3,16x16_02388,,3,4,0.9,0.9,0.005,20.0,100.0,0.01608,0.01589,4.71,,,0.000955,0.010027,2.9e-05,0.000255,0.0,2e-05,,0.010981999999999999,68.3
3,16x16_02390,,3,4,0.9,0.9,0.005,20.0,99.0,1.18731,2.48915,303.42,,,0.000777,0.683447,0.002368,0.015513,0.0,0.001116,,0.684224,57.63
3,16x16_02395,,3,4,0.9,0.9,0.005,20.0,100.0,0.0216,0.02796,5.33,,,0.000884,0.014152,3.6e-05,0.000289,0.0,2.7e-05,,0.015035999999999999,69.61
3,16x16_02405,,3,4,0.9,0.9,0.005,20.0,100.0,3.11907,3.73206,698.48,,,0.000765,1.754996,0.006321,0.035452,0.0,0.002704,,1.755761,56.29
3,16x16_02407,,3,4,0.9,0.9,0.005,20.0,100.0,0.02075,0.02913,6.94,,,0.000981,0.013105,3.6e-05,0.000366,0.0,2.6e-05,,0.014086000000000001,67.88
3,16x16_02411,,3,4,0.9,0.9,0.005,20.0,100.0,0.16026,0.20978,41.0,,,0.000839,0.109354,0.000297,0.002117,0.0,0.00013,,0.11019300000000001,68.76
3,16x16_02418,,3,4,0.9,0.9,0.005,20.0,100.0,0.0266,0.02585,6.67,,,0.000881,0.01747,4.5e-05,0.000351,0.0,2.6e-05,,0.018351,68.99
3,16x16_02435,,3,4,0.9,0.9,0.005,20.0,100.0,0.0913,0.11758,19.91,,,0.00082,0.062385,0.000159,0.001045,0.0,6.6e-05,,0.063205,69.23
3,16x16_02436,,3,4,0.9,0.9,0.005,20.0,100.0,0.05711,0.07575,14.73,,,0.000833,0.038304,0.000107,0.000779,0.0,5.5e-05,,0.039137,68.53
